" chongzhi1"

"Time      "	".JOINT_qianhou.Element_Force.Y"
2.570000e-01	-4.682504e+00
2.580000e-01	-4.679315e+00
2.590000e-01	-4.676850e+00
2.600000e-01	-4.673644e+00
2.610000e-01	-4.671025e+00
2.620000e-01	-4.668176e+00
2.630000e-01	-4.665592e+00
2.632553e-01	-4.641738e+00
2.640000e-01	-4.661122e+00
2.648720e-01	1.810986e+00
2.650000e-01	-1.849730e+01
2.660000e-01	-4.656061e+00
2.670000e-01	-4.653345e+00
2.673274e-01	-4.354711e+00
2.680000e-01	-4.651023e+00
2.690000e-01	-4.627885e+00
2.693452e-01	-3.878903e+00
2.700000e-01	-4.612131e+00
2.709809e-01	-2.892073e+00
2.710000e-01	-4.585633e+00
2.720000e-01	-4.606803e+00
2.730000e-01	-4.590466e+00
2.736182e-01	-2.925059e+00
2.740000e-01	-4.600237e+00
2.745517e-01	-4.406022e+00
2.750000e-01	-4.594438e+00
2.760000e-01	-4.572948e+00
2.770000e-01	-4.530880e+00
2.780000e-01	-4.587122e+00
2.790000e-01	-4.584472e+00
2.800000e-01	-4.581760e+00
2.810000e-01	-4.577801e+00
2.820000e-01	-4.575118e+00
2.830000e-01	-4.530768e+00
2.840000e-01	-4.567817e+00
2.850000e-01	-4.571603e+00
2.860000e-01	-4.559844e+00
2.870000e-01	-4.558764e+00
2.880000e-01	-4.550608e+00
2.890000e-01	-4.550000e+00
2.900000e-01	-4.544923e+00
2.910000e-01	-4.546734e+00
2.920000e-01	-4.540025e+00
2.930000e-01	-4.533616e+00
2.940000e-01	-4.532424e+00
2.950000e-01	-4.526870e+00
2.960000e-01	-4.524262e+00
2.970000e-01	-4.541480e+00
2.980000e-01	-4.517763e+00
2.990000e-01	-4.533736e+00
3.000000e-01	-4.509641e+00
3.010000e-01	-4.508032e+00
3.020000e-01	-4.503699e+00
3.030000e-01	-4.501620e+00
3.040000e-01	-4.495737e+00
3.050000e-01	-4.494225e+00
3.060000e-01	-4.490343e+00
3.070000e-01	-4.484294e+00
3.080000e-01	-4.477499e+00
3.090000e-01	-4.480308e+00
3.100000e-01	-4.474616e+00
3.103953e-01	-3.270901e+00
3.110000e-01	-4.473559e+00
3.115298e-01	-3.711451e+00
3.120000e-01	-4.469573e+00
3.130000e-01	-4.464168e+00
3.140000e-01	-4.458644e+00
3.150000e-01	-4.455860e+00
3.160000e-01	-4.450813e+00
3.170000e-01	-4.446673e+00
3.180000e-01	-4.445669e+00
3.190000e-01	-4.444589e+00
3.196019e-01	-2.910223e+00
3.200000e-01	-4.437791e+00
3.204253e-01	-4.297684e+00
3.210000e-01	-4.429424e+00
3.219621e-01	-3.991072e+00
3.220000e-01	-4.406211e+00
3.230000e-01	-4.420786e+00
3.240000e-01	-4.416922e+00
3.242548e-01	-3.859693e+00
3.250000e-01	-4.418584e+00
3.260000e-01	-4.414914e+00
3.267668e-01	-4.220741e+00
3.270000e-01	-4.403052e+00
3.280000e-01	-4.451418e+00
3.283178e-01	-3.724560e+00
3.286065e-01	-3.949152e+00
3.289846e-01	-4.064854e+00
3.290000e-01	-5.460971e+00
3.295460e-01	-3.467355e+00
3.300000e-01	-4.376341e+00
3.305212e-01	-3.877414e+00
3.310000e-01	-4.810145e+00
3.313097e-01	-4.200513e+00


